id_smart;name;description;cod_cat_n1_smt;categoria_nivel_1;cod_cat_n2_smt;categoria_nivel_2;marca;formato;precio;image1;image2;image3;empresa;name_tottus;score_tottus;marca_tottus;formato_tottus;precio_tottus;name_lider;score_lider;marca_lider;formato_lider;precio_lider;name_jumbo;score_jumbo;marca_jumbo;formato_jumbo;precio_jumbo;flag_mmpp
L771121;Alimento Seco Perro Longevidad Bolsa, 15 Kg;no info;MAS_001;Mascotas;PE_001;Perro;dog chow;15 kg;36890.0;https://images.lider.cl/wmtcl?source=url[file:/productos/740646a.jpg]&sink;;;Lider;;;;;;alimento seco perro longevidad bolsa 15 kg dog chow 15 kg;95.0;dog chow;15 kg;36890.0;;;;;;0
L640371;Alimento Seco Cachorro Raza Mediana/Grande Carne y Pollo, 8 Kg;no info;MAS_001;Mascotas;PE_001;Perro;dog chow;8 kg;24350.0;https://images.lider.cl/wmtcl?source=url[file:/productos/740650a.jpg]&sink;;;Lider;;;;;;alimento seco cachorro raza medianagrande carne pollo 8 kg dog chow 8 kg;95.0;dog chow;8 kg;24350.0;;;;;;0
L646382;Alimento Seco Cachorro Raza Mediana/Grande Carne y Pollo, 3 Kg;no info;MAS_001;Mascotas;PE_001;Perro;dog chow;3 kg;13090.0;https://images.lider.cl/wmtcl?source=url[file:/productos/740652a.jpg]&sink;;;Lider;;;;;;alimento seco cachorro raza medianagrande carne pollo 3 kg dog chow 3 kg;95.0;dog chow;3 kg;13090.0;;;;;;0
L646383;Alimento Seco Cachorro Raza Pequeña Carne y Pollo Bolsa, 3 Kg;no info;MAS_001;Mascotas;PE_001;Perro;dog chow;3 kg;13090.0;https://images.lider.cl/wmtcl?source=url[file:/productos/740656a.jpg]&sink;;;Lider;;;;;;alimento seco cachorro raza pequeña carne pollo bolsa 3 kg dog chow 3 kg;95.0;dog chow;3 kg;13090.0;;;;;;0
L544660;Alimento Humedo Gato Hogareño Sabor Salmon Lata, 315 g;no info;MAS_001;Mascotas;G_001;Gato;champion cat;315 g;1890.0;https://images.lider.cl/wmtcl?source=url[file:/productos/740662a.jpg]&sink;;;Lider;;;;;;alimento humedo gato hogareño sabor salmon lata 315 g champion cat 315 g;95.0;champion cat;315 g;1890.0;;;;;;0
L491396;Bebida Light, 2,5 L;Bebida de Fantasía Light Coca-Cola, 2.5lt;BYL_001;Bebidas y Licores;B_001;Bebidas;coca-cola;2,5 l;2490.0;https://images.lider.cl/wmtcl?source=url[file:/productos/7415a.jpg]&sink;;;Lider;;;;;;bebida light 25 l cocacola 25 l;95.0;coca-cola;2,5 l;2490.0;;;;;;0
L545303;Gin N°1 Premium, 700 cc;Gin Azul The London Nº1, 700cl;BYL_001;Bebidas y Licores;D_001;Destilados;the london;700 cc;29190.0;https://images.lider.cl/wmtcl?source=url[file:/productos/741839a.jpg]&sink;;;Lider;;;;;;gin n°1 premium 700 cc the london 700 cc;95.0;the london;700 cc;29190.0;;;;;;0
L545393;Rollitos de Arroz Dulce, 80 g;Rollo de Arroz Dulce Dulce Locura, 80g;DYD_001;Desayunos y Dulces;CER_001;Cereales;dulce locura;80 g;2750.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742011a.jpg]&sink;;;Lider;;;;;;rollitos arroz dulce 80 g dulce locura 80 g;95.0;dulce locura;80 g;2750.0;;;;;;0
L545394;Rolls de Arroz Crujiente Canela 8 Un) Bolsa, 80 g;Rollos Crujientes Arroz Dulce Dulce Locura, 80g;DYD_001;Desayunos y Dulces;CER_001;Cereales;dulce locura;80 g;2750.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742013a-1.jpg]&sink;;;Lider;;;;;;rolls arroz crujiente canela 8 bolsa 80 g dulce locura 80 g;95.0;dulce locura;80 g;2750.0;;;;;;0
L545576;Vino Pinot Noir Reserva, 750 cc;Vino Tinto Reserva Pinot Noir Epica, 750ml;BYL_001;Bebidas y Licores;VYE_001;Vinos y Espumantes;epica;750 cc;4190.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742255a.jpg]&sink;;;Lider;;;;;;vino pinot noir reserva 750 cc epica 750 cc;95.0;epica;750 cc;4190.0;;;;;;0
